"Señor, muéstranos tu amor y misericordia;",leader,hangingIndent,true
"Porque hemos puesto nuestra confianza en ti.",congregation,indent,true
"El Oficiante dice lo siguiente",rubric,hangingIndent,true
"Dios Todopoderoso, que has prometido escuchar las peticiones de los que piden en el Nombre de tu Hijo: inclina misericordiosamente tu oído a nosotros que te hemos hecho nuestras oraciones y súplicas; y concede que lo que hemos pedido fielmente, de acuerdo con tu voluntad, lo obtengamos eficazmente, para el alivio de nuestras necesidades y la instauración de tu gloria; Por Jesucristo nuestro Señor.",leader,"",true
Amén.,congregation,hangingIndent,true
"El Oficiante puede agregar otras oraciones y puede terminar la Letanía diciendo",rubric,hangingIndent,true
"La gracia de nuestro Señor Jesucristo, el amor de Dios Padre y la comunión del Espíritu Santo estén con todos nosotros por siempre. Amén.",leader,"",true
