"Jubilate"                                             ,"heading"
"Be Joyful"                                            ,"subheading"
"Officiant and People, all standing"                   ,"rubric"
"O be joyful in the Lord, all you lands; *"            ,"congregation","hangingIndent"
"serve the Lord with gladness,"                        ,"congregation","indent"       ,
"and come before his presence with a song."            ,"congregation","hangingIndent"
"Be assured that the Lord, he is God; *"               ,"congregation","indent"       ,
"it is he that has made us, and not we ourselves; "    ,"congregation","indent"       ,
"we are his people, and the sheep of his pasture."     ,"congregation","hangingIndent"
"O go your way into his gates with thanksgiving,"      ,"congregation","indent"       ,
"and into his courts with praise; *"                   ,"congregation","indent"       ,
"be thankful unto him, and speak good of his Name."    ,"congregation","hangingIndent"
"For the Lord is gracious, his mercy is everlasting, *","congregation","indent"       ,
"and his truth endures from generation to generation." ,"congregation","indent"       ,
"Psalm 100"                                            ,"citation"
