"Aclamen alegres al Señor, *"                                  ,"congregation","hangingIndent"
"habitantes de toda la tierra;"                                ,"congregation","hangingIndent"
"adoren al Señor con regocijo. *"                              ,"congregation","indent"
"Preséntense ante él con cánticos de júbilo."                  ,"congregation","indent"
"Reconozcan que el Señor es Dios; *"                           ,"congregation","hangingIndent"
"Él nos hizo, y somos suyos."                                  ,"congregation","hangingIndent"
"Somos su pueblo, ovejas de su prado."                         ,"congregation","indent"
"Entren por sus puertas con acción de gracias; *"              ,"congregation","hangingIndent"
"vengan a sus atrios con himnos de alabanza; *"                ,"congregation","hangingIndent"
"denle gracias, alaben su nombre."                             ,"congregation","indent"
"Porque el Señor es bueno y su gran amor es eterno; *"         ,"congregation","hangingIndent"
"su fidelidad permanece para siempre."                         ,"congregation","indent"
