"Jubilate"                                               ,"heading"
"歡呼頌"                                                 ,"subheading"
"Officiant and People, all standing"                     ,"rubric"
"普天下當向耶和華歡呼！*"                                ,"congregation","hangingIndent"
"你們當樂意事奉耶和華，"                                  ,"congregation","indent"       ,
"當來向祂歌唱！"                                          ,"congregation","hangingIndent"
"你們當曉得耶和華是上帝！*"                               ,"congregation","indent"       ,
"我們是祂造的，也是屬祂的；"                              ,"congregation","indent"       ,
"我們是祂的民，也是祂草場的羊。"                          ,"congregation","hangingIndent"
"當稱謝進入祂的門；當讚美進入祂的院。*"                   ,"congregation","indent"       ,
"當感謝祂，稱頌祂的名！"                                  ,"congregation","hangingIndent"
"因為耶和華本為善。祂的慈愛存到永遠；*"                   ,"congregation","indent"       ,
"祂的信實直到萬代。"                                      ,"congregation","indent"       ,
"詩篇 100"                                                ,"citation"
