The Great Litany,heading,hangingIndent,true
"That it may please thee to grant that, in the fellowship of [_____________ and] all the saints, we may attain unto thy heavenly kingdom,",leader,hangingIndent,true
"We beseech thee to hear us, good Lord.",congregation,indent,true
"Son of God, we beseech thee to hear us.",leader,hangingIndent,true
"Son of God, we beseech thee to hear us.",congregation,indent,true
"O Lamb of God, that takest away the sins of the world;",leader,hangingIndent,true
Have mercy upon us.,congregation,indent,true
"O Lamb of God, that takest away the sins of the world;",leader,hangingIndent,true
Have mercy upon us.,congregation,indent,true
"O Lamb of God, that takest away the sins of the world;",leader,hangingIndent,true
Have mercy upon us.,congregation,indent,true
"O Christ, hear us.",leader,hangingIndent,true
"O Christ, hear us.",congregation,indent,true
