"Dios nos tenga compasión y nos bendiga; *","congregation","hangingIndent"
"Dios haga resplandecer su rostro sobre nosotros, Selah","congregation","indent"
"para que se conozcan en la tierra sus caminos, *","congregation","hangingIndent"
"y entre todas las naciones su salvación.","congregation","indent"
"Que te alaben, oh Dios, los pueblos; *","congregation","hangingIndent"
"que todos los pueblos te alaben.","congregation","indent"
"Alégrense y canten con júbilo las naciones, *","congregation","hangingIndent"
"porque tú las gobiernas con rectitud;","congregation","indent"
"¡Tú guías a las naciones de la tierra! Selah","congregation","indent"
"Que te alaben, oh Dios, los pueblos; *","congregation","hangingIndent"
"que todos los pueblos te alaben.","congregation","indent"
"La tierra dará entonces su fruto, *","congregation","hangingIndent"
"y Dios, nuestro Dios, nos bendecirá.","congregation","indent"
"Dios nos bendecirá, *","congregation","hangingIndent"
"y le temerán todos los confines de la tierra.","congregation","indent"
