"The Preces", "heading"
"All stand.", "rubric"
"主啊，助我們開口；", "leader_dialogue"
"使我們能用口讚美主。", "congregation_dialogue"
"上帝啊，快快拯救我們；", "leader_dialogue"
"主啊，趕快幫助我們。", "congregation_dialogue"
"但願榮耀歸於聖父、聖子、聖靈；", "leader_dialogue"
"始初如此，現今如此，後來亦如此，永無窮盡。阿們。", "congregation_dialogue"
"你們要讚美主；", "leader_dialogue"
"願主之名得讚美。", "congregation_dialogue"
