"The Great Litany"                                                                                                                                                                                                                                         ,"heading"     ,true           ,
"To preserve all who are in danger by reason of their work or travel,"                                                                                                                                                                                     ,"leader"      ,"hangingIndent",true
"We beseech you to hear us, good Lord."                                                                                                                                                                                                                    ,"congregation","indent"       ,
"To strengthen the bonds of those in Holy Matrimony; to uphold the widowed and abandoned; and to comfort all whose homes are torn by strife,"                                                                                                              ,"leader"      ,"hangingIndent",true
"We beseech you to hear us, good Lord."                                                                                                                                                                                                                    ,"congregation","indent"       ,
"To protect the unborn and their parents, and to preserve all women in childbirth;"                                                                                                                                                                        ,"leader"      ,"hangingIndent",true
"We beseech you to hear us, good Lord."                                                                                                                                                                                                                    ,"congregation","indent"       ,
"To care for those who have lost children or face infertility, and to provide for young children and orphans,"                                                                                                                                             ,"leader"      ,"hangingIndent",true
"We beseech you to hear us, good Lord."                                                                                                                                                                                                                    ,"congregation","indent"       ,
"To visit the lonely and those who grieve; to strengthen all who suffer in mind, body, or spirit; and to comfort with your presence those who are failing and infirm,"                                                                                     ,"leader"      ,"hangingIndent",true
"We beseech you to hear us, good Lord."                                                                                                                                                                                                                    ,"congregation","indent"       ,
"To support, help, and deliver all who are in danger, necessity, and tribulation,"                                                                                                                                                                         ,"leader"      ,"hangingIndent",true
"We beseech you to hear us, good Lord."                                                                                                                                                                                                                    ,"congregation","indent"       ,
"To have mercy upon all people,"                                                                                                                                                                                                                           ,"leader"      ,"hangingIndent",true
"We beseech you to hear us, good Lord."                                                                                                                                                                                                                    ,"congregation","indent"       ,
"That it may please you to give us true repentance; to forgive us all our sin, negligence, and ignorance; and to endue us with the grace of your Holy Spirit to amend our lives according to your holy Word,"                                              ,"leader"      ,"hangingIndent",true
"We beseech you to hear us, good Lord."                                                                                                                                                                                                                    ,"congregation","indent"       ,
"To forgive our enemies, persecutors, and slanderers, and to turn their hearts,"                                                                                                                                                                           ,"leader"      ,"hangingIndent",true
"We beseech you to hear us, good Lord."                                                                                                                                                                                                                    ,"congregation","indent"       ,
"To strengthen those who stand; to encourage the faint-hearted; to raise up those who fall; and finally to beat down Satan under our feet,"                                                                                                                ,"leader"      ,"hangingIndent",true
"We beseech you to hear us, good Lord."                                                                                                                                                                                                                    ,"congregation","indent"       ,
"To grant to all the faithful departed eternal life and peace,"                                                                                                                                                                                            ,"leader"      ,"hangingIndent",true
"We beseech you to hear us, good Lord."                                                                                                                                                                                                                    ,"congregation","indent"       ,
"To grant that, in the fellowship of {{ names }} and all the saints, we may attain to your heavenly kingdom,"                                                                                                                                              ,"leader"      ,"hangingIndent",true
"We beseech you to hear us, good Lord."                                                                                                                                                                                                                    ,"congregation","indent"       ,
"Son of God, we beseech you to hear us."                                                                                                                                                                                                                   ,"leader"      ,"hangingIndent",true
"Son of God, we beseech you to hear us."                                                                                                                                                                                                                   ,"congregation","indent"       ,
"O Lamb of God, you take away the sin of the world;"                                                                                                                                                                                                       ,"leader"      ,"hangingIndent",true
"Have mercy upon us."                                                                                                                                                                                                                                      ,"congregation","indent"       ,
"O Lamb of God, you take away the sin of the world;"                                                                                                                                                                                                       ,"leader"      ,"hangingIndent",true
"Have mercy upon us."                                                                                                                                                                                                                                      ,"congregation","indent"       ,
"O Lamb of God, you take away the sin of the world;"                                                                                                                                                                                                       ,"leader"      ,"hangingIndent",true
"Grant us your peace."                                                                                                                                                                                                                                     ,"congregation","indent"       ,
"O Christ, hear us."                                                                                                                                                                                                                                       ,"leader"      ,"hangingIndent",true
"O Christ, hear us."
