"Glory be to God on high,", "congregation", "hangingIndent"
"and on earth peace, good will towards men.", "congregation", "indent"
"We praise thee, we bless thee,", "congregation", "hangingIndent"
"we worship thee, we glorify thee,", "congregation", "indent"
"we give thanks to thee for thy great glory,", "congregation", "indent"
"O Lord God, heavenly King, God the Father Almighty.", "congregation", "hangingIndent"
"O Lord, the only-begotten Son, Jesus Christ;", "congregation", "hangingIndent"
"O Lord God, Lamb of God, Son of the Father,", "congregation", "hangingIndent"
"that takest away the sins of the world,", "congregation", "indent"
"have mercy upon us.", "congregation", "indent"
"Thou that takest away the sins of the world,", "congregation", "hangingIndent"
"receive our prayer.", "congregation", "indent"
"Thou that sittest at the right hand of God the Father,", "congregation", "hangingIndent"
"have mercy upon us.", "congregation", "indent"
"For thou only art holy; thou only art the Lord;", "congregation", "hangingIndent"
"thou only, O Christ,", "congregation", "hangingIndent"
"with the Holy Ghost,", "congregation", "indent"
"art most high in the glory of God the Father. Amen.", "congregation", "indent"
