"Splendor and honor and kingly power *"                    ,"congregation","hangingIndent"
"are yours by right, O Lord our God,"                      ,"congregation","indent"       ,
"For you created everything that is, *"                    ,"congregation","hangingIndent"
"and by your will they were created and have their being; ","congregation","indent"       ,
"And yours by right, O Lamb that was slain, *"             ,"congregation","hangingIndent"
"for with your blood you have redeemed for God, "          ,"congregation","indent"       ,
"From every family, language, people, and nation, *"       ,"congregation","hangingIndent"
"a kingdom of priests to serve our God. "                  ,"congregation","indent"       ,
"And so, to him who sits upon the throne, *"               ,"congregation","hangingIndent"
"and to Christ the Lamb,"                                  ,"congregation","indent"       ,
"Be worship and praise, dominion and splendor, *"          ,"congregation","hangingIndent"
"for ever and for evermore. Amen."                         ,"congregation","indent"       ,
