"El sacerdote solo se pone de pie y dice", "rubric"
"El Señor todopoderoso y misericordioso te conceda la absolución y remisión de todos tus pecados, el verdadero arrepentimiento, la enmienda de vida, y la gracia y el consuelo de su Espíritu Santo.", "leader",
"Amén.", "congregation"
